                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  0.707  8.27E+04 7.39E+04 8.15E+05 3.14E+03 5.88E+03 7.92E+03 9.07E+03 9.33E+03 8.81E+03 7.75E+03 6.40E+03 4.98E+03 3.66E+03 2.55E+03 1.69E+03 1.06E+03 6.38E+02 3.64E+02 1.98E+02 1.03E+02 5.09E+01 2.41E+01 1.09E+01 4.68E+00 1.93E+00 7.59E-01 2.86E-01 1.03E-01 3.53E-02 1.16E-02 3.64E-03 1.10E-03 3.15E-04
   7.00  0.734  1.46E+05 1.26E+05 1.43E+06 5.07E+03 9.54E+03 1.29E+04 1.49E+04 1.55E+04 1.48E+04 1.32E+04 1.11E+04 8.77E+03 6.59E+03 4.70E+03 3.19E+03 2.07E+03 1.27E+03 7.51E+02 4.23E+02 2.28E+02 1.17E+02 5.76E+01 2.72E+01 1.22E+01 5.29E+00 2.19E+00 8.65E-01 3.28E-01 1.19E-01 4.15E-02 1.39E-02 4.43E-03 1.36E-03
   7.50  0.759  2.51E+05 2.10E+05 2.45E+06 8.08E+03 1.52E+04 2.07E+04 2.41E+04 2.52E+04 2.44E+04 2.21E+04 1.88E+04 1.51E+04 1.16E+04 8.44E+03 5.86E+03 3.89E+03 2.46E+03 1.49E+03 8.67E+02 4.82E+02 2.57E+02 1.31E+02 6.42E+01 3.02E+01 1.36E+01 5.87E+00 2.44E+00 9.70E-01 3.71E-01 1.36E-01 4.79E-02 1.62E-02 5.27E-03
   8.00  0.784  4.24E+05 3.46E+05 4.14E+06 1.27E+04 2.41E+04 3.29E+04 3.84E+04 4.06E+04 3.96E+04 3.63E+04 3.13E+04 2.56E+04 1.99E+04 1.48E+04 1.05E+04 7.11E+03 4.62E+03 2.88E+03 1.72E+03 9.83E+02 5.40E+02 2.85E+02 1.45E+02 7.05E+01 3.30E+01 1.49E+01 6.43E+00 2.67E+00 1.07E+00 4.12E-01 1.52E-01 5.43E-02 1.86E-02
   8.50  0.808  7.05E+05 5.63E+05 6.89E+06 1.98E+04 3.75E+04 5.15E+04 6.06E+04 6.44E+04 6.35E+04 5.87E+04 5.13E+04 4.25E+04 3.36E+04 2.54E+04 1.84E+04 1.27E+04 8.44E+03 5.38E+03 3.29E+03 1.94E+03 1.10E+03 5.96E+02 3.12E+02 1.57E+02 7.63E+01 3.56E+01 1.60E+01 6.94E+00 2.90E+00 1.16E+00 4.51E-01 1.68E-01 6.05E-02
   9.00  0.832  1.16E+06 9.05E+05 1.13E+07 3.05E+04 5.80E+04 7.99E+04 9.44E+04 1.01E+05 1.00E+05 9.38E+04 8.28E+04 6.96E+04 5.58E+04 4.28E+04 3.14E+04 2.22E+04 1.50E+04 9.77E+03 6.12E+03 3.69E+03 2.14E+03 1.20E+03 6.45E+02 3.35E+02 1.68E+02 8.09E+01 3.76E+01 1.69E+01 7.32E+00 3.06E+00 1.23E+00 4.80E-01 1.80E-01
   9.50  0.855  1.88E+06 1.45E+06 1.84E+07 4.78E+04 9.09E+04 1.25E+05 1.49E+05 1.60E+05 1.59E+05 1.50E+05 1.33E+05 1.12E+05 9.08E+04 7.02E+04 5.21E+04 3.71E+04 2.54E+04 1.67E+04 1.06E+04 6.49E+03 3.82E+03 2.17E+03 1.19E+03 6.26E+02 3.19E+02 1.57E+02 7.44E+01 3.41E+01 1.51E+01 6.44E+00 2.65E+00 1.06E+00 4.06E-01
  10.00  0.877  3.03E+06 2.29E+06 2.95E+07 7.40E+04 1.41E+05 1.95E+05 2.31E+05 2.50E+05 2.50E+05 2.36E+05 2.11E+05 1.79E+05 1.46E+05 1.14E+05 8.52E+04 6.13E+04 4.24E+04 2.82E+04 1.81E+04 1.12E+04 6.69E+03 3.85E+03 2.14E+03 1.15E+03 5.93E+02 2.97E+02 1.43E+02 6.69E+01 3.01E+01 1.31E+01 5.53E+00 2.25E+00 8.85E-01
  11.00  0.920  8.61E+06 5.58E+06 7.34E+07 1.73E+05 3.29E+05 4.57E+05 5.46E+05 5.92E+05 5.98E+05 5.69E+05 5.14E+05 4.42E+05 3.65E+05 2.88E+05 2.19E+05 1.60E+05 1.13E+05 7.68E+04 5.03E+04 3.19E+04 1.95E+04 1.15E+04 6.55E+03 3.61E+03 1.93E+03 9.94E+02 4.96E+02 2.39E+02 1.12E+02 5.04E+01 2.20E+01 9.33E+00 3.82E+00
  12.00  0.961  2.17E+07 1.31E+07 1.76E+08 3.90E+05 7.46E+05 1.04E+06 1.24E+06 1.36E+06 1.38E+06 1.32E+06 1.20E+06 1.05E+06 8.74E+05 7.00E+05 5.40E+05 4.01E+05 2.87E+05 1.98E+05 1.33E+05 8.56E+04 5.34E+04 3.22E+04 1.88E+04 1.06E+04 5.82E+03 3.08E+03 1.58E+03 7.86E+02 3.78E+02 1.76E+02 7.97E+01 3.49E+01 1.48E+01
