##
## Parameters for 239U 
##
## Level density
##
Rtransmom        91 236   0.60000  1
Rclass2mom       91 236   1.00000  1
fisbar           91 236   5.70000  2
fishw            91 236   0.60000  2
fisbaradjust     91 236   1.00000  2
fishwadjust      91 236   1.00000  2
Rtransmom        91 236   1.00000  2
Rclass2mom       91 236   1.00000  2
##--------------------------------------------
##
## Parameters for 236Th
##
## Level density
##
a                90 236  31.81487
aadjust          90 236   1.00000
gammald          90 236   0.07427
pair             90 236   1.56227
Pshift           90 236   0.00000   0
Pshiftadjust     90 236   0.00000   0
deltaW           90 236   3.83697   0
T                90 236   0.31979   0
E0               90 236   0.83178   0
Exmatch          90 236   3.69225   0
Tadjust          90 236   1.00000   0
E0adjust         90 236   1.00000   0
Exmatchadjust    90 236   1.00000   0
Ntop             90 236   1   0
Nlow             90 236   0   0
s2adjust         90 236   1.00000   0
ctable           90 236   0.00000
ptable           90 236   0.00000
Krotconstant     90 236   1.00000   0
Pshift           90 236   0.00000   1
Pshiftadjust     90 236   0.00000   1
deltaW           90 236   2.55798   1
T                90 236   0.31979   1
E0               90 236   1.03328   1
Exmatch          90 236   3.49414   1
Tadjust          90 236   1.00000   1
E0adjust         90 236   1.00000   1
Exmatchadjust    90 236   1.00000   1
Ntop             90 236  39   1
Nlow             90 236   2   1
s2adjust         90 236   1.00000   1
ctable           90 236   0.00000
ptable           90 236   0.00000
Krotconstant     90 236   1.00000   1
Pshift           90 236   0.00000   2
Pshiftadjust     90 236   0.00000   2
deltaW           90 236   2.55798   2
T                90 236   0.31979   2
E0               90 236   1.29172   2
Exmatch          90 236   5.30430   2
Tadjust          90 236   1.00000   2
E0adjust         90 236   1.00000   2
Exmatchadjust    90 236   1.00000   2
Ntop             90 236  14   2
Nlow             90 236   2   2
s2adjust         90 236   1.00000   2
ctable           90 236   0.00000
ptable           90 236   0.00000
Krotconstant     90 236   1.00000   2
g                90 236  15.73333
gp               90 236   6.00000
gn               90 236   9.73333
gnadjust         90 236   1.00000
gpadjust         90 236   1.00000
##
## Gamma-ray
##
gamgam           90 236   0.03000
gamgamadjust     90 236   1.00000
sgr              90 236 696.879 E1
egr              90 236  13.335 E1
ggr              90 236   3.662 E1
sgradjust        90 236   1.000 E1
egradjust        90 236   1.000 E1
ggradjust        90 236   1.000 E1
sgr              90 236   1.097 M1
egr              90 236   6.635 M1
ggr              90 236   4.000 M1
sgradjust        90 236   1.000 M1
egradjust        90 236   1.000 M1
ggradjust        90 236   1.000 M1
sgr              90 236   0.571 E2
egr              90 236  10.195 E2
ggr              90 236   3.278 E2
sgradjust        90 236   1.000 E2
egradjust        90 236   1.000 E2
ggradjust        90 236   1.000 E2
sgr              90 236   0.001 M2
egr              90 236   6.635 M2
ggr              90 236   4.000 M2
sgradjust        90 236   1.000 M2
egradjust        90 236   1.000 M2
ggradjust        90 236   1.000 M2
##
## Fission parameters
##
fisbar           90 236   5.30000  1
fishw            90 236   1.00000  1
fisbaradjust     90 236   1.00000  1
fishwadjust      90 236   1.00000  1
class2width      90 236   0.20000  1
Rtransmom        90 236   0.60000  1
Rclass2mom       90 236   1.00000  1
fisbar           90 236   7.90000  2
fishw            90 236   0.60000  2
fisbaradjust     90 236   1.00000  2
fishwadjust      90 236   1.00000  2
Rtransmom        90 236   1.00000  2
Rclass2mom       90 236   1.00000  2
##--------------------------------------------
##
## Parameters for 235Th
##
## Level density
##
a                90 235  31.49589
aadjust          90 235   1.00000
gammald          90 235   0.07438
pair             90 235   0.78279
Pshift           90 235   0.00000   0
Pshiftadjust     90 235   0.00000   0
deltaW           90 235   3.65800   0
T                90 235   0.32367   0
E0               90 235   0.04640   0
Exmatch          90 235   2.93787   0
Tadjust          90 235   1.00000   0
E0adjust         90 235   1.00000   0
Exmatchadjust    90 235   1.00000   0
Ntop             90 235   1   0
Nlow             90 235   0   0
s2adjust         90 235   1.00000   0
ctable           90 235   0.00000
ptable           90 235   0.00000
Krotconstant     90 235   1.00000   0
Pshift           90 235   0.00000   1
Pshiftadjust     90 235   0.00000   1
deltaW           90 235   2.43867   1
T                90 235   0.32367   1
E0               90 235   0.24380   1
Exmatch          90 235   2.74530   1
Tadjust          90 235   1.00000   1
E0adjust         90 235   1.00000   1
Exmatchadjust    90 235   1.00000   1
Ntop             90 235   9   1
Nlow             90 235   2   1
s2adjust         90 235   1.00000   1
ctable           90 235   0.00000
ptable           90 235   0.00000
Krotconstant     90 235   1.00000   1
Pshift           90 235   0.00000   2
Pshiftadjust     90 235   0.00000   2
deltaW           90 235   2.43867   2
T                90 235   0.32367   2
E0               90 235   0.49329   2
Exmatch          90 235   4.52939   2
Tadjust          90 235   1.00000   2
E0adjust         90 235   1.00000   2
Exmatchadjust    90 235   1.00000   2
Ntop             90 235  17   2
Nlow             90 235   2   2
s2adjust         90 235   1.00000   2
ctable           90 235   0.00000
ptable           90 235   0.00000
Krotconstant     90 235   1.00000   2
g                90 235  15.66667
gp               90 235   6.00000
gn               90 235   9.66667
gnadjust         90 235   1.00000
gpadjust         90 235   1.00000
##
## Gamma-ray
##
gamgam           90 235   0.03000
gamgamadjust     90 235   1.00000
sgr              90 235 693.757 E1
egr              90 235  13.348 E1
ggr              90 235   3.669 E1
sgradjust        90 235   1.000 E1
egradjust        90 235   1.000 E1
ggradjust        90 235   1.000 E1
sgr              90 235   1.091 M1
egr              90 235   6.644 M1
ggr              90 235   4.000 M1
sgradjust        90 235   1.000 M1
egradjust        90 235   1.000 M1
ggradjust        90 235   1.000 M1
sgr              90 235   0.570 E2
egr              90 235  10.209 E2
ggr              90 235   3.290 E2
sgradjust        90 235   1.000 E2
egradjust        90 235   1.000 E2
ggradjust        90 235   1.000 E2
sgr              90 235   0.001 M2
egr              90 235   6.644 M2
ggr              90 235   4.000 M2
sgradjust        90 235   1.000 M2
egradjust        90 235   1.000 M2
ggradjust        90 235   1.000 M2
##
## Fission parameters
##
fisbar           90 235   5.50000  1
fishw            90 235   1.00000  1
