                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  15.00  0.963  4.66E+09 1.37E+09 2.00E+10 2.00E+07 5.83E+07 9.16E+07 1.17E+08 1.34E+08 1.42E+08 1.40E+08 1.32E+08 1.18E+08 1.01E+08 8.35E+07 6.62E+07 5.06E+07 3.73E+07 2.66E+07 1.83E+07 1.22E+07 7.82E+06 4.87E+06 2.94E+06 1.72E+06 9.72E+05 5.33E+05 2.83E+05 1.46E+05 7.29E+04 3.53E+04 1.66E+04 7.54E+03 3.33E+03
  16.00  0.995  1.09E+10 3.14E+09 4.65E+10 4.45E+07 1.30E+08 2.04E+08 2.63E+08 3.01E+08 3.19E+08 3.18E+08 3.01E+08 2.71E+08 2.35E+08 1.95E+08 1.56E+08 1.20E+08 8.98E+07 6.47E+07 4.51E+07 3.04E+07 1.99E+07 1.26E+07 7.71E+06 4.58E+06 2.64E+06 1.48E+06 8.00E+05 4.21E+05 2.15E+05 1.06E+05 5.11E+04 2.38E+04 1.08E+04
  17.00  1.026  2.49E+10 7.00E+09 1.05E+11 9.67E+07 2.82E+08 4.45E+08 5.73E+08 6.60E+08 7.02E+08 7.03E+08 6.68E+08 6.06E+08 5.28E+08 4.42E+08 3.57E+08 2.78E+08 2.10E+08 1.53E+08 1.08E+08 7.36E+07 4.87E+07 3.13E+07 1.95E+07 1.18E+07 6.89E+06 3.92E+06 2.16E+06 1.16E+06 6.03E+05 3.05E+05 1.50E+05 7.14E+04 3.31E+04
  18.00  1.055  5.55E+10 1.53E+10 2.33E+11 2.06E+08 6.01E+08 9.48E+08 1.22E+09 1.41E+09 1.51E+09 1.52E+09 1.45E+09 1.32E+09 1.16E+09 9.78E+08 7.96E+08 6.26E+08 4.76E+08 3.50E+08 2.50E+08 1.73E+08 1.16E+08 7.53E+07 4.75E+07 2.91E+07 1.73E+07 1.00E+07 5.62E+06 3.06E+06 1.62E+06 8.36E+05 4.19E+05 2.04E+05 9.64E+04
  19.00  1.084  1.21E+11 3.27E+10 5.05E+11 4.29E+08 1.25E+09 1.98E+09 2.56E+09 2.96E+09 3.18E+09 3.21E+09 3.08E+09 2.82E+09 2.49E+09 2.12E+09 1.73E+09 1.37E+09 1.05E+09 7.83E+08 5.64E+08 3.94E+08 2.67E+08 1.76E+08 1.12E+08 6.98E+07 4.21E+07 2.47E+07 1.41E+07 7.80E+06 4.20E+06 2.20E+06 1.12E+06 5.57E+05 2.68E+05
  20.00  1.112  2.58E+11 6.84E+10 1.07E+12 8.77E+08 2.56E+09 4.06E+09 5.26E+09 6.10E+09 6.56E+09 6.64E+09 6.40E+09 5.91E+09 5.24E+09 4.48E+09 3.70E+09 2.95E+09 2.28E+09 1.71E+09 1.24E+09 8.77E+08 6.01E+08 4.00E+08 2.59E+08 1.63E+08 9.93E+07 5.90E+07 3.41E+07 1.92E+07 1.05E+07 5.60E+06 2.90E+06 1.46E+06 7.19E+05
  22.50  1.180  2.27E+12 4.03E+11 6.47E+12 4.89E+09 1.43E+10 2.27E+10 2.96E+10 3.45E+10 3.73E+10 3.81E+10 3.71E+10 3.46E+10 3.11E+10 2.69E+10 2.26E+10 1.83E+10 1.44E+10 1.10E+10 8.16E+09 5.89E+09 4.13E+09 2.81E+09 1.87E+09 1.21E+09 7.59E+08 4.65E+08 2.77E+08 1.61E+08 9.13E+07 5.04E+07 2.71E+07 1.42E+07 7.25E+06
  25.00  1.244  1.31E+13 2.16E+12 3.55E+13 2.50E+10 7.32E+10 1.16E+11 1.52E+11 1.78E+11 1.94E+11 1.99E+11 1.96E+11 1.84E+11 1.67E+11 1.46E+11 1.24E+11 1.02E+11 8.17E+10 6.34E+10 4.79E+10 3.52E+10 2.52E+10 1.75E+10 1.19E+10 7.86E+09 5.06E+09 3.18E+09 1.95E+09 1.17E+09 6.79E+08 3.86E+08 2.14E+08 1.16E+08 6.13E+07
  30.00  1.362  5.07E+14 4.94E+13 8.49E+14 5.25E+11 1.54E+12 2.46E+12 3.24E+12 3.82E+12 4.20E+12 4.37E+12 4.34E+12 4.15E+12 3.83E+12 3.42E+12 2.96E+12 2.49E+12 2.04E+12 1.63E+12 1.26E+12 9.56E+11 7.06E+11 5.08E+11 3.57E+11 2.45E+11 1.65E+11 1.08E+11 6.89E+10 4.31E+10 2.63E+10 1.57E+10 9.18E+09 5.24E+09 2.92E+09
  40.00  1.573  2.67E+17 1.33E+16 2.45E+17 1.24E+14 3.65E+14 5.86E+14 7.76E+14 9.26E+14 1.03E+15 1.09E+15 1.10E+15 1.08E+15 1.02E+15 9.34E+14 8.33E+14 7.24E+14 6.14E+14 5.08E+14 4.11E+14 3.25E+14 2.51E+14 1.90E+14 1.40E+14 1.02E+14 7.20E+13 5.00E+13 3.40E+13 2.27E+13 1.48E+13 9.49E+12 5.96E+12 3.66E+12 2.21E+12
  50.00  1.759  3.91E+19 1.94E+18 3.75E+19 1.63E+16 4.80E+16 7.73E+16 1.03E+17 1.24E+17 1.39E+17 1.49E+17 1.52E+17 1.51E+17 1.45E+17 1.36E+17 1.24E+17 1.10E+17 9.54E+16 8.10E+16 6.73E+16 5.48E+16 4.37E+16 3.42E+16 2.62E+16 1.97E+16 1.45E+16 1.05E+16 7.46E+15 5.20E+15 3.56E+15 2.39E+15 1.58E+15 1.02E+15 6.50E+14
  60.00  1.927  3.70E+21 1.83E+20 3.68E+21 1.40E+18 4.15E+18 6.70E+18 8.96E+18 1.08E+19 1.23E+19 1.32E+19 1.37E+19 1.37E+19 1.33E+19 1.26E+19 1.17E+19 1.06E+19 9.35E+18 8.09E+18 6.87E+18 5.72E+18 4.67E+18 3.74E+18 2.94E+18 2.28E+18 1.73E+18 1.29E+18 9.45E+17 6.81E+17 4.83E+17 3.36E+17 2.30E+17 1.55E+17 1.03E+17
  70.00  2.081  2.50E+23 1.23E+22 2.57E+23 8.80E+19 2.60E+20 4.21E+20 5.65E+20 6.86E+20 7.81E+20 8.47E+20 8.84E+20 8.94E+20 8.79E+20 8.42E+20 7.88E+20 7.21E+20 6.47E+20 5.69E+20 4.91E+20 4.16E+20 3.46E+20 2.83E+20 2.27E+20 1.79E+20 1.39E+20 1.07E+20 8.01E+19 5.93E+19 4.32E+19 3.09E+19 2.18E+19 1.52E+19 1.04E+19
  80.00  2.225  1.30E+25 6.37E+23 1.37E+25 4.26E+21 1.26E+22 2.05E+22 2.75E+22 3.36E+22 3.84E+22 4.18E+22 4.39E+22 4.47E+22 4.43E+22 4.28E+22 4.05E+22 3.75E+22 3.40E+22 3.03E+22 2.65E+22 2.27E+22 1.92E+22 1.59E+22 1.30E+22 1.05E+22 8.29E+21 6.46E+21 4.96E+21 3.75E+21 2.79E+21 2.05E+21 1.48E+21 1.05E+21 7.39E+20
  90.00  2.360  5.41E+26 2.64E+25 5.83E+26 1.67E+23 4.95E+23 8.04E+23 1.08E+24 1.32E+24 1.52E+24 1.66E+24 1.76E+24 1.80E+24 1.79E+24 1.75E+24 1.67E+24 1.55E+24 1.42E+24 1.28E+24 1.13E+24 9.85E+23 8.42E+23 7.09E+23 5.88E+23 4.79E+23 3.85E+23 3.05E+23 2.38E+23 1.83E+23 1.39E+23 1.04E+23 7.67E+22 5.57E+22 4.00E+22
 100.00  2.487  1.87E+28 9.09E+26 2.05E+28 5.46E+24 1.62E+25 2.63E+25 3.55E+25 4.35E+25 5.01E+25 5.51E+25 5.84E+25 6.02E+25 6.03E+25 5.91E+25 5.67E+25 5.34E+25 4.93E+25 4.47E+25 3.99E+25 3.51E+25 3.03E+25 2.58E+25 2.16E+25 1.79E+25 1.46E+25 1.17E+25 9.27E+24 7.24E+24 5.58E+24 4.24E+24 3.18E+24 2.35E+24 1.72E+24
 110.00  2.609  5.51E+29 2.66E+28 6.13E+29 1.53E+26 4.53E+26 7.37E+26 9.97E+26 1.22E+27 1.41E+27 1.56E+27 1.66E+27 1.72E+27 1.73E+27 1.70E+27 1.64E+27 1.56E+27 1.45E+27 1.33E+27 1.19E+27 1.06E+27 9.22E+26 7.92E+26 6.71E+26 5.61E+26 4.62E+26 3.76E+26 3.01E+26 2.38E+26 1.86E+26 1.44E+26 1.09E+26 8.21E+25 6.09E+25
 120.00  2.725  1.41E+31 6.77E+29 1.59E+31 3.72E+27 1.10E+28 1.80E+28 2.44E+28 3.00E+28 3.47E+28 3.84E+28 4.10E+28 4.26E+28 4.31E+28 4.27E+28 4.14E+28 3.94E+28 3.69E+28 3.40E+28 3.08E+28 2.75E+28 2.42E+28 2.10E+28 1.79E+28 1.51E+28 1.26E+28 1.03E+28 8.39E+27 6.71E+27 5.31E+27 4.14E+27 3.19E+27 2.43E+27 1.83E+27
